Name   tor.angle pol.angle R      z      shift	dtheta	dphi	R/Ohm	Aeff/m^2
===============================================================================
C2:011	30 278.5 1.743 -0.876 1.0 0.0000 0.0000 1.0000 1.0000
C2:012	30 284.6 1.868 -1.495 1.0 0.0000 0.0000 1.0000 1.0000
C2:013	30 327.3 2.221 -1.995 1.0 0.0000 0.0000 1.0000 1.0000
C2:014	30 13.24 2.820 -2.095 1.0 0.0000 0.0000 1.0000 1.0000
C2:015	30 33.47 3.387 -1.833 1.0 0.0000 0.0000 1.0000 1.0000
C2:016	30 47.01 3.785 -1.500 1.0 0.0000 0.0000 1.0000 1.0000
C2:017	30 60.55 4.095 -1.084 1.0 0.0000 0.0000 1.0000 1.0000
C2:018	30 74.10 4.299 -0.605 1.0 0.0000 0.0000 1.0000 1.0000
P:801 	27.87 108.9 3.876 1.014 1.0 0.0000 0.0000 1.0000 1.0000
P:802	327.95 100.3 3.964 0.678 1.0 0.0000 0.0000 1.0000 1.0000
P:803	327.94 88.83 3.995 0.262 1.0 0.0000 0.0000 1.0000 1.0000
P:804	327.90 77.38 3.940 -0.152 1.0 0.0000 0.0000 1.0000 1.0000
P:805	327.80 65.93 3.807 -0.548 1.0 0.0000 0.0000 1.0000 1.0000
P:806	327.68 52.18 3.645 -0.815 1.0 0.0000 0.0000 1.0000 1.0000
P:807	327.50 52.18 3.463 -1.052 1.0 0.0000 0.0000 1.0000 1.0000
I:801	317.35 257.2 1.840 1.342 1.0 0.0000 0.0000 1.0000 1.0000
I:802	317.38 262.6 1.776 0.641 -1.0 0.0000 0.0000 1.0000 1.0000
I:803	317.52 277.4 1.776 0.641 1.0 0.0000 0.0000 1.0000 1.0000
UP:801	328.26 205.9 2.304 2.040 1.0 0.0000 0.0000 1.0000 1.0000
UP:802	328.42 188.4 2.531 2.110 1.0 0.0000 0.0000 1.0000 1.0000
UP:803	328.67 158.6 2.978 2.047 1.0 0.0000 0.0000 1.0000 1.0000
UN:801	330.98 133.5 2.123 1.890 1.0 0.0000 0.0000 1.0000 1.0000
UN:802	330.91 116.0 2.313 2.021 1.0 0.0000 0.0000 1.0000 1.0000
UN:803	330.83 98.50 2.533 2.090 1.0 0.0000 0.0000 1.0000 1.0000
UN:804	330.77 81.00 2.764 2.089 1.0 0.0000 0.0000 1.0000 1.0000
H:301	77.00 108.9 3.881 1.001 1.0 0.0000 0.0000 1.0000 1.0000
H:302	92.940 108.9 3.881 1.013 1.0 0.0000 0.0000 1.0000 1.0000
131	92.940 108.9 3.881 1.013 1.0 0.0000 0.0000 1.0000 1.0000
H:303	103.11 108.9 3.881 1.005 1.0 0.0000 0.0000 1.0000 1.0000
141	103.11 108.9 3.881 1.005 1.0 0.0000 0.0000 1.0000 1.0000
H:304	108.74 108.2 3.880 1.045 1.0 0.0000 0.0000 1.0000 1.0000
211	108.74 108.2 3.880 1.045 1.0 0.0000 0.0000 1.0000 1.0000
H:305	110.38 108.9 3.882 1.007 1.0 0.0000 0.0000 1.0000 1.0000
H:306	108.73 104.5 3.925 0.894 -1.0 0.0000 0.0000 1.0000 1.0000
121	108.73 104.5 3.925 0.894 -1.0 0.0000 0.0000 1.0000 1.0000
H:307	108.46 97.58 3.987 0.592 -1.0 0.0000 0.0000 1.0000 1.0000
221	108.46 97.58 3.987 0.592 -1.0 0.0000 0.0000 1.0000 1.0000
H:308	108.46 89.38 3.997 0.293 1.0 0.0000 0.0000 1.0000 1.0000
T:001	2.97 108.9 3.882 1.005 1.0 0.0000 0.0000 1.0000 1.0000
T:002	42.15 108.9 3.882 1.007 1.0 0.0000 0.0000 1.0000 1.0000
T:003	77.00 108.9 3.881 1.001 1.0 0.0000 0.0000 1.0000 1.0000
T:004	110.38 108.9 3.882 1.007 1.0 0.0000 0.0000 1.0000 1.0000
T:005	147.83 108.9 3.878 1.012 1.0 0.0000 0.0000 1.0000 1.0000
T:006	182.94 108.9 3.881 1.006 -1.0 0.0000 0.0000 1.0000 1.0000
T:007	222.17 108.9 3.884 1.004 1.0 0.0000 0.0000 1.0000 1.0000
T:008	257.10 108.9 3.876 1.016 1.0 0.0000 0.0000 1.0000 1.0000
T:009	290.37 108.9 3.869 1.021 -1.0 0.0000 0.0000 1.0000 1.0000
T:010	327.87 108.9 3.876 1.014 1.0 0.0000 0.0000 1.0000 1.0000
